"","entidad","municipio"
"146","Oaxaca","Santa Ana Yareni"
"147","Oaxaca","Santa Catalina Quierí"
"148","Oaxaca","Santa Catarina Juquila"
"149","Oaxaca","Santa Catarina Lachatao"
"150","Oaxaca","Santa Catarina Loxicha"
"151","Oaxaca","Santa Catarina Mechoacán"
"152","Oaxaca","Santa Catarina Quioquitani"
"153","Oaxaca","Santa Cruz Acatepec"
"154","Oaxaca","Santa Cruz Tacache de Mina"
"155","Oaxaca","Santa Cruz Tayata"
"156","Oaxaca","Santa Cruz Xitla"
"157","Oaxaca","Santa Inés Yatzeche"
"158","Oaxaca","Santa Magdalena Jicotlán"
"159","Oaxaca","Santa María Cortijo"
"160","Oaxaca","Santa María Ecatepec"
"161","Oaxaca","Santa María Guelacé"
"162","Oaxaca","Santa María Guienagati"
"163","Oaxaca","Santa María Jaltianguis"
"164","Oaxaca","Santa María Nativitas"
"165","Oaxaca","Santa María Pápalo"
"166","Oaxaca","Santa María Peñoles"
"167","Oaxaca","Santa María Quiegolani"
"168","Oaxaca","Santa María Sola"
"169","Oaxaca","Santa María Temaxcalapa"
"170","Oaxaca","Santa María Temaxcaltepec"
"171","Oaxaca","Santa María Texcatitlán"
"172","Oaxaca","Santa María Totolapilla"
"173","Oaxaca","Santa María Yalina"
"174","Oaxaca","Santa María Yavesía"
"175","Oaxaca","Santa María Yolotepec"
"176","Oaxaca","Santa María Yucuhiti"
"177","Oaxaca","Santa María Zoquitlán"
"178","Oaxaca","Santiago Camotlán"
"179","Oaxaca","Santiago Choápam"
"180","Oaxaca","Santiago Comaltepec"
"181","Oaxaca","Santiago del Río"
"182","Oaxaca","Santiago Jamiltepec"
"183","Oaxaca","Santiago Lalopa"
"184","Oaxaca","Santiago Laxopa"
"185","Oaxaca","Santiago Matatlán"
"186","Oaxaca","Santiago Minas"
"187","Oaxaca","Santiago Nuyoó"
"188","Oaxaca","Santiago Tamazola"
"189","Oaxaca","Santiago Tapextla"
"190","Oaxaca","Santiago Tetepec"
"191","Oaxaca","Santiago Textitlán"
"192","Oaxaca","Santiago Tillo"
"193","Oaxaca","Santiago Tlazoyaltepec"
"194","Oaxaca","Santiago Xiacuí"
"195","Oaxaca","Santiago Yaitepec"
"196","Oaxaca","Santiago Yucuyachi"
"197","Oaxaca","Santiago Zoochila"
"198","Oaxaca","Santo Domingo Albarradas"
"199","Oaxaca","Santo Domingo de Morelos"
"200","Oaxaca","Santo Domingo Ozolotepec"
"201","Oaxaca","Santo Domingo Roayaga"
"202","Oaxaca","Santo Domingo Teojomulco"
"203","Oaxaca","Santo Domingo Tonaltepec"
"204","Oaxaca","Santo Domingo Xagacía"
"205","Oaxaca","Santo Tomás Mazaltepec"
"206","Oaxaca","Santo Tomás Tamazulapan"
"207","Oaxaca","Santos Reyes Yucuná"
"208","Oaxaca","Silacayoápam"
"209","Oaxaca","Sitio de Xitlapehua"
"210","Oaxaca","Tanetze de Zaragoza"
"211","Oaxaca","Tataltepec de Valdés"
"212","Oaxaca","Tlacotepec Plumas"
"213","Oaxaca","Totontepec Villa de Morelos"
"214","Oaxaca","Villa Hidalgo"
"215","Oaxaca","Villa Talea de Castro"
"216","Oaxaca","Yaxe"
"217","Puebla","Amixtlán"
"218","Puebla","San Felipe Tepatlán"
"219","Puebla","La Magdalena Tlatlauquitepec"
"220","Puebla","Tlapacoya"
"221","Puebla","Tepango de Rodríguez"
"222","Puebla","Zongozotla"
"223","Puebla","Camocuautla"
"224","Puebla","Yaonáhuac"
"225","Puebla","San Juan Atzompa"
"226","Puebla","Huatlatlauca"
"227","Puebla","Chigmecatitlán"
"228","Puebla","Santa Catarina Tlaltempan"
"229","Puebla","Coatzingo"
"230","Puebla","Cuayuca de Andrade"
"231","San Luis Potosí","Vanegas"
"232","San Luis Potosí","Catorce"
"233","San Luis Potosí","Charcas"
"234","San Luis Potosí","Lagunillas"
"235","San Luis Potosí","Tanquián de Escobedo"
"236","Sonora","Atil"
"237","Sonora","Aconchi"
"238","Sonora","San Felipe de Jesús"
"239","Sonora","Moctezuma"
"240","Sonora","Cumpas"
"241","Sonora","Villa Hidalgo"
"242","Sonora","Granados"
"243","Sonora","Divisaderos"
"244","Sonora","Huásabas"
"245","Sonora","Tepache"
"246","Sonora","Nácori Chico"
"247","Sonora","Bacadéhuachi"
"248","Sonora","Huachinera"
"249","Sonora","Bacerac"
"250","Sonora","Arivechi"
"251","Sonora","Bacanora"
"252","Sonora","San Javier"
"253","Tamaulipas","Cruillas"
"254","Tamaulipas","San Nicolás"
"255","Tamaulipas","Mier"
"256","Tamaulipas","Miquihuana"
"257","Veracruz","Citlaltépetl"
"258","Veracruz","Tatatila"
"259","Veracruz","Las Minas"
"260","Veracruz","Tlacolulan"
"261","Veracruz","Coacoatzintla"
"262","Veracruz","Mixtla de Altamirano"
"263","Veracruz","Texhuacán"
"264","Veracruz","Los Reyes"
"265","Veracruz","Tlaquilpa"
"266","Veracruz","Astacinga"
"267","Veracruz","Santiago Sochiapan"
"268","Yucatán","Dzoncauich"
